	phylum	class	order	family	genus	species	taxon
7504	Bacteroidetes <phylum>	Cytophagia	Cytophagales				Cytophagales
7584	Planctomycetes <phylum>	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctopirus	Planctopirus limnophila	Planctopirus limnophila DSM 3776
7603	Chlamydiae <phylum>	Chlamydiia	Parachlamydiales	Parachlamydiaceae			Parachlamydiaceae
7770	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonas	Fimbriimonas ginsengisoli	Fimbriimonas ginsengisoli Gsoil 348
7779	Candidatus Saccharibacteria						Candidatus Saccharibacteria
7782							Bacteria <prokaryotes>
7785	Proteobacteria	Epsilonproteobacteria			Sulfurovum	Sulfurovum sp. NBC37-1	Sulfurovum sp. NBC37-1
7786	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurimonas	Sulfurimonas denitrificans	Sulfurimonas denitrificans DSM 1251
7787	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurimonas	Sulfurimonas autotrophica	Sulfurimonas autotrophica DSM 16294
7788	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurimonas		Sulfurimonas
7789	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfuricurvum	Sulfuricurvum kujiense	Sulfuricurvum kujiense DSM 16994
7827	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae			Arcobacter group
8224	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium		Desulfomicrobium
8269	Proteobacteria	Oligoflexia	Bacteriovoracales				Bacteriovoracales
8321	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfarculus	Desulfarculus baarsii	Desulfarculus baarsii DSM 2075
8410	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae			Cardiobacteriaceae
9546	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thioploca	Thioploca ingrica	Thioploca ingrica
9557	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
9580	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella hackeliae	Legionella hackeliae
9589	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella fallonii	Legionella fallonii LLAP-10
9649	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Rickettsiella	Candidatus Rickettsiella viridis	Candidatus Rickettsiella viridis
9655	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
9742	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella sp. TX077310	Francisella sp. TX077310
9778	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Thiomicrorhabdus	Thiomicrorhabdus sp. HaS4	Thiomicrorhabdus sp. HaS4
9790	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
9803	Proteobacteria	Gammaproteobacteria			Candidatus Thioglobus	Candidatus Thioglobus singularis	Candidatus Thioglobus singularis
9830	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella <genus>		Moraxella <genus>
10393	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fragi	Pseudomonas fragi
10544	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Gynuella	Gynuella sunshinyii	Gynuella sunshinyii YC6258
10545	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Saccharospirillum	Saccharospirillum mangrovi	Saccharospirillum mangrovi
10546	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Reinekea	Reinekea forsetii	Reinekea forsetii
13434	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Spongiibacter	Spongiibacter sp. IMCC21906	Spongiibacter sp. IMCC21906
213	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Croceicoccus	Croceicoccus marinus	Croceicoccus marinus
455	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yangia	Yangia pacifica	Yangia pacifica
1035	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Tistrella	Tistrella mobilis	Tistrella mobilis KA081020-065
1323	Cyanobacteria						Cyanobacteria
1432	Cyanobacteria						Cyanobacteria
1449	Cyanobacteria		Synechococcales	Leptolyngbyaceae	Leptolyngbya	Leptolyngbya sp. NIES-3755	Leptolyngbya sp. NIES-3755
1493	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus	Prochlorococcus marinus str. MIT 9301
1703	Firmicutes	Clostridia	Clostridiales	Syntrophomonadaceae	Syntrophothermus	Syntrophothermus lipocalidus	Syntrophothermus lipocalidus DSM 12680
1758	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	Hungateiclostridium		Hungateiclostridium
5368	Actinobacteria <phylum>	Actinobacteria <class>	Candidatus Nanopelagicales	Candidatus Nanopelagicaceae	Candidatus Nanopelagicus		Candidatus Nanopelagicus
6032	Actinobacteria <phylum>	Actinobacteria <class>	Propionibacteriales				Propionibacteriales
6773	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae			Flavobacteriaceae
7431	Bacteroidetes <phylum>	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus	Algoriphagus sp. M8-2	Algoriphagus sp. M8-2
7524	Bacteroidetes <phylum>	Cytophagia	Cytophagales				Cytophagales
7531	Ignavibacteriae	Ignavibacteria	Ignavibacteriales				Ignavibacteriales
7573	Planctomycetes <phylum>	Planctomycetia	Planctomycetales	Isosphaeraceae	Singulisphaera	Singulisphaera acidiphila	Singulisphaera acidiphila DSM 18658
7594	Planctomycetes <phylum>	Planctomycetia	Planctomycetales				Planctomycetales
7601	Chlamydiae <phylum>	Chlamydiia	Parachlamydiales	Parachlamydiaceae	Parachlamydia	Parachlamydia acanthamoebae	Parachlamydia acanthamoebae UV-7
7602	Chlamydiae <phylum>	Chlamydiia	Parachlamydiales	Parachlamydiaceae	Candidatus Protochlamydia	Candidatus Protochlamydia naegleriophila	Candidatus Protochlamydia naegleriophila
7730	Verrucomicrobia						Verrucomicrobia
7822	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae			Arcobacter group
8271	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geoalkalibacter	Geoalkalibacter subterraneus	Geoalkalibacter subterraneus
8403	Proteobacteria	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae			Acidiferrobacteraceae
9564	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiodictyon	Candidatus Thiodictyon syntrophicum	Candidatus Thiodictyon syntrophicum
9701	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus	Cycloclasticus sp. P1	Cycloclasticus sp. P1
9780	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Thiomicrorhabdus	Thiomicrorhabdus sp. 13-15A	Thiomicrorhabdus sp. 13-15A
9788	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae			Piscirickettsiaceae
9804	Proteobacteria	Gammaproteobacteria					unclassified Gammaproteobacteria
10005	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oleiphilaceae	Oleiphilus	Oleiphilus messinensis	Oleiphilus messinensis
10528	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Oleispira	Oleispira antarctica	Oleispira antarctica RB-8
13054	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio fluvialis	Vibrio fluvialis
13157	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio sp. HBUAS61001	Vibrio sp. HBUAS61001
13435	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Zhongshania	Zhongshania aliphaticivorans	Zhongshania aliphaticivorans
786	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Maritalea	Maritalea myrionectae	Maritalea myrionectae
1187	Spirochaetes <phylum>	Spirochaetia	Spirochaetales	Spirochaetaceae	Sediminispirochaeta	Sediminispirochaeta smaragdinae	Sediminispirochaeta smaragdinae DSM 11293
1530	Dictyoglomi <phylum>	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus		Dictyoglomus
1987	Firmicutes	Clostridia	Clostridiales				Clostridiales
4862	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae			Halobacteroidaceae
5004	Chloroflexi <phylum>						Chloroflexi <phylum>
6901	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae			Flavobacteriaceae
7586	Planctomycetes <phylum>	Planctomycetia	Planctomycetales	Planctomycetaceae			Planctomycetaceae
8280	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae			Desulfuromonadaceae
9636	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella <Bacteria>	Coxiella endosymbiont of Amblyomma americanum	Coxiella endosymbiont of Amblyomma americanum
12503	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Wigglesworthia	Wigglesworthia glossinidia	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis
398	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus <bacteria>	Paracoccus sp. Arc7-R13	Paracoccus sp. Arc7-R13
412	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter blasticus	Rhodobacter blasticus
459	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			Rhodobacteraceae
468	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	Roseobacter denitrificans	Roseobacter denitrificans OCh 114
2113	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Laceyella	Laceyella sacchari	Laceyella sacchari
4975	Chloroflexi <phylum>	Thermomicrobia <class>					Thermomicrobia <class>
7415	Bacteroidetes <phylum>	Chitinophagia	Chitinophagales	Chitinophagaceae			Chitinophagaceae
7706	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Nibricoccus	Nibricoccus aquaticus	Nibricoccus aquaticus
7738	Acidobacteria <phylum>	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Candidatus Koribacter	Candidatus Koribacter versatilis	Candidatus Koribacter versatilis Ellin345
7799	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	Arcobacter bivalviorum	Arcobacter bivalviorum
7820	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae			Arcobacter group
7826	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae			Arcobacter group
8305	Proteobacteria	Deltaproteobacteria	Desulfuromonadales				Desulfuromonadales
8427	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Ahniella	Ahniella affigens	Ahniella affigens
9647	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella <Bacteria>		Coxiella <Bacteria>
9687	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Methylomonas koyamae	Methylomonas koyamae
9700	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae			Methylococcaceae
9711	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis	Piscirickettsia salmonis
13426	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Simiduia	Simiduia agarivorans	Simiduia agarivorans SA1 = DSM 21679
174	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium		Novosphingobium
217	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	Altererythrobacter ishigakiensis	Altererythrobacter ishigakiensis
219	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	Altererythrobacter sp. B11	Altererythrobacter sp. B11
1920	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii	Clostridium beijerinckii
5370	Actinobacteria <phylum>					Actinobacteria bacterium IMCC19121	Actinobacteria bacterium IMCC19121
7406	Bacteroidetes <phylum>	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavisolibacter	Flavisolibacter sp. 17J28-1	Flavisolibacter sp. 17J28-1
7505	Bacteroidetes <phylum>	Cytophagia	Cytophagales	Amoebophilaceae	Candidatus Amoebophilus	Candidatus Amoebophilus asiaticus	Candidatus Amoebophilus asiaticus 5a2
7771	Candidatus Saccharibacteria					Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20	Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20
8244	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae			Desulfovibrionaceae
9526	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus	Azoarcus communis	Azoarcus communis
9544	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae			Chromatiaceae
9567	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae			Chromatiaceae
13446	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae			Cellvibrionaceae
160	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Thalassospira		Thalassospira
409	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thioclava	Thioclava nitratireducens	Thioclava nitratireducens
773	Proteobacteria	Alphaproteobacteria					Alphaproteobacteria
1020	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia		Wolbachia
1436	Cyanobacteria		Oscillatoriales	Microcoleaceae	Arthrospira	Arthrospira sp. TJSD092	Arthrospira sp. TJSD092
1986	Firmicutes	Clostridia	Clostridiales				Clostridiales
2717	Firmicutes	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus litoralis	Halobacillus litoralis
3961	Fusobacteria <phylum>	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium		Fusobacterium
4996	Chloroflexi <phylum>	Ardenticatenia	Ardenticatenales	Ardenticatenaceae	Candidatus Promineofilum	Candidatus Promineofilum breve	Candidatus Promineofilum breve
5844	Actinobacteria <phylum>	Actinobacteria <class>	Micrococcales	Microbacteriaceae			Microbacteriaceae
7563	Nitrospirae	Nitrospira <class>	Nitrospirales	Nitrospiraceae			Nitrospiraceae
8266	Proteobacteria	Oligoflexia	Bacteriovoracales	Halobacteriovoraceae	Halobacteriovorax	Halobacteriovorax marinus	Halobacteriovorax marinus SJ
8328	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacula	Desulfobacula toluolica	Desulfobacula toluolica Tol2
9671	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Spiribacter		Spiribacter
9767	Proteobacteria	Gammaproteobacteria	Thiotrichales				Thiotrichales
9777	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Thiomicrospira		Thiomicrospira
9787	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae			Piscirickettsiaceae
9835	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter sp. AntiMn-1	Psychrobacter sp. AntiMn-1
13495	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Labrenzia	Labrenzia sp. VG12	Labrenzia sp. VG12
13515	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodomicrobium	Rhodomicrobium vannielii	Rhodomicrobium vannielii ATCC 17100
1746	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae			Hungateiclostridiaceae
3948	Fusobacteria <phylum>	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium		Fusobacterium
6869	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae			Flavobacteriaceae
9663	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Ectothiorhodospira	Ectothiorhodospira sp. BSL-9	Ectothiorhodospira sp. BSL-9
10541	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas		Marinomonas
13241	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio rumoiensis	Vibrio rumoiensis
13423	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
13445	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Teredinibacter	Teredinibacter turnerae	Teredinibacter turnerae T7901
163	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira	Magnetospira sp. QH-2	Magnetospira sp. QH-2
474	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	Sulfitobacter sp. SK025	Sulfitobacter sp. SK025
858	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Nitrospirillum	Nitrospirillum amazonense	Nitrospirillum amazonense CBAmc
964	Proteobacteria	Alphaproteobacteria	Rickettsiales				Rickettsiales
3963	Fusobacteria <phylum>	Fusobacteriia	Fusobacteriales				Fusobacteriales
5007							Terrabacteria group
7425	Bacteroidetes <phylum>						Bacteroidetes <phylum>
7599	Chlamydiae <phylum>	Chlamydiia	Parachlamydiales	Waddliaceae	Waddlia	Waddlia chondrophila	Waddlia chondrophila WSU 86-1044
7604	Chlamydiae <phylum>	Chlamydiia	Parachlamydiales	Parachlamydiaceae	Neochlamydia	Neochlamydia sp. S13	Neochlamydia sp. S13
7705	Verrucomicrobia					Verrucomicrobia bacterium IMCC26134	Verrucomicrobia bacterium IMCC26134
8186	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter cinaedi	Helicobacter cinaedi
8290	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	Pelobacter propionicus	Pelobacter propionicus DSM 2379
8315	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae			Desulfobulbaceae
8352	Proteobacteria	Deltaproteobacteria	Myxococcales				Sorangiineae
8386	Proteobacteria						Proteobacteria
8397	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Solimonas	Solimonas sp. K1W22B-7	Solimonas sp. K1W22B-7
8407	Proteobacteria	Gammaproteobacteria	Chromatiales	Halothiobacillaceae	Halothiobacillus		Halothiobacillus
9548	Proteobacteria	Gammaproteobacteria				gamma proteobacterium HdN1	gamma proteobacterium HdN1
10034	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Ketobacter	Ketobacter alkanivorans	Ketobacter alkanivorans
10780	Proteobacteria	Gammaproteobacteria			Gallaecimonas	Gallaecimonas sp. HK-28	Gallaecimonas sp. HK-28
13522	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Azorhizobium	Azorhizobium caulinodans	Azorhizobium caulinodans ORS 571
164	Proteobacteria	Alphaproteobacteria					Alphaproteobacteria
356	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae		Rhodobiaceae bacterium	Rhodobiaceae bacterium
369	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae			Hyphomonadaceae
376	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus <bacteria>	Paracoccus contaminans	Paracoccus contaminans
436	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Celeribacter	Celeribacter manganoxidans	Celeribacter manganoxidans
532	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Jannaschia	Jannaschia sp. CCS1	Jannaschia sp. CCS1
543	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			Rhodobacteraceae
790	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Asticcacaulis excentricus	Asticcacaulis excentricus
1310	Candidatus Cloacimonetes				Candidatus Cloacimonas	Candidatus Cloacimonas acidaminovorans	Candidatus Cloacimonas acidaminovorans str. Evry
1379	Cyanobacteria		Oscillatoriales	Cyanothecaceae	Cyanothece	Cyanothece sp. ATCC 51142	Cyanothece sp. ATCC 51142
1496	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus	Prochlorococcus marinus str. MIT 9312
2054	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus harei	Peptoniphilus harei
2057	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus		Anaerococcus
6848	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Olleya	Olleya aquimaris	Olleya aquimaris
7182	Bacteroidetes <phylum>	Bacteroidia	Marinilabiliales				Marinilabiliales
8275	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	Pelobacter sp. SFB93	Pelobacter sp. SFB93
8313	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfotalea	Desulfotalea psychrophila	Desulfotalea psychrophila LSv54
8350	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae			Polyangiaceae
10008	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter hydrocarbonoclasticus	Marinobacter hydrocarbonoclasticus ATCC 49840
10010	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter sp. LQ44	Marinobacter sp. LQ44
10698	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella		Shewanella
13017	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Grimontia	Grimontia hollisae	Grimontia hollisae
13146	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio		Vibrio
13329	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae			Alteromonadaceae
13385	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas phenolica	Pseudoalteromonas phenolica
13470	Proteobacteria						Proteobacteria
221	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	Altererythrobacter epoxidivorans	Altererythrobacter epoxidivorans
304	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. YZ-8	Sphingomonas sp. YZ-8
438	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Celeribacter	Celeribacter ethanolicus	Celeribacter ethanolicus
1238	Spirochaetes <phylum>	Spirochaetia	Spirochaetales	Borreliaceae			Borreliaceae
5009							Terrabacteria group
5095	Actinobacteria <phylum>	Actinobacteria <class>	Geodermatophilales	Geodermatophilaceae	Geodermatophilus	Geodermatophilus obscurus	Geodermatophilus obscurus DSM 43160
5364	Actinobacteria <phylum>	Actinobacteria <class>	Candidatus Nanopelagicales	Candidatus Nanopelagicaceae	Candidatus Nanopelagicus	Candidatus Nanopelagicus hibericus	Candidatus Nanopelagicus hibericus
5381	Actinobacteria <phylum>	Actinobacteria <class>	Candidatus Nanopelagicales	Candidatus Nanopelagicaceae	Candidatus Planktophila	Candidatus Planktophila dulcis	Candidatus Planktophila dulcis
6633	Gemmatimonadetes <phylum>	Gemmatimonadetes <class>	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas phototrophica	Gemmatimonas phototrophica
6691	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola	Glaciecola sp. THG-3.7	Glaciecola sp. THG-3.7
6702	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Myroides		Myroides
7462	Bacteroidetes <phylum>	Cytophagia	Cytophagales	Cytophagaceae	Arcticibacterium	Arcticibacterium luteifluviistationis	Arcticibacterium luteifluviistationis
7513	Bacteroidetes <phylum>	Cytophagia	Cytophagales	Flammeovirgaceae	Marivirga	Marivirga tractuosa	Marivirga tractuosa DSM 4126
7708	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Opitutus terrae	Opitutus terrae PB90-1
7734							Bacteria <prokaryotes>
8392							Bacteria <prokaryotes>
8411	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
8980	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	Ottowia sp. oral taxon 894	Ottowia sp. oral taxon 894
9398	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	Polynucleobacter asymbioticus	Polynucleobacter asymbioticus QLW-P1DMWA-1
9501	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Methyloversatilis	Methyloversatilis sp. RAC08	Methyloversatilis sp. RAC08
9678	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae			Ectothiorhodospiraceae
9738	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella sp. MA067296	Francisella sp. MA067296
10044	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae			Alcanivoracaceae
851	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum		Magnetospirillum
1186	Spirochaetes <phylum>	Spirochaetia	Spirochaetales	Spirochaetaceae	Sphaerochaeta		Sphaerochaeta
1345	Cyanobacteria		Nostocales	Nostocaceae	Trichormus	Trichormus azollae	'Nostoc azollae' 0708
10019	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter sp. NP-4(2019)	Marinobacter sp. NP-4(2019)
10517	Proteobacteria	Gammaproteobacteria				Gammaproteobacteria bacterium ESL0073	Gammaproteobacteria bacterium ESL0073
228	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Citromicrobium	Citromicrobium sp. JL477	Citromicrobium sp. JL477
365	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hirschia	Hirschia baltica	Hirschia baltica ATCC 49814
400	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus <bacteria>		Paracoccus <bacteria>
435	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			Rhodobacteraceae
500	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			Rhodobacteraceae
1361	Cyanobacteria		Nostocales	Rivulariaceae	Calothrix	Calothrix parietina	Calothrix sp. PCC 6303
1387	Cyanobacteria		Pleurocapsales	Dermocarpellaceae	Stanieria		Stanieria
1490	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus	Prochlorococcus marinus str. AS9601
2059	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae			Peptoniphilaceae
6755	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	Tenacibaculum todarodis	Tenacibaculum todarodis
