Sample,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
171118_3,1.720601002,0.939791289,1.813549276,1.543761242,2865.716837,1608.839893,3233862.776,1994634.736,47.49812048,14.41800352,0.434302977,0.109454396,0.500001705,0.145967156
171116_13,1.729173414,0.920026865,1.857155225,1.614552877,2973.11429,1654.451979,3374460.161,2057648.09,47.44115002,13.74432283,0.426724914,0.104445496,0.50044868,0.148055671
171126_3,1.734390571,1.067347928,1.472115793,1.328657175,2591.356333,1342.20601,2821890.989,1639151.275,47.27667934,14.14176788,0.442769899,0.099472991,0.504714006,0.134266506
171122_4,1.692190406,0.921390754,1.856432259,1.505206582,2833.182843,1723.207807,3217344.537,2181833.119,45.2709329,16.23666796,0.454564633,0.128903809,0.489011183,0.149933245
171120_12,1.560684925,0.97918902,1.613842496,1.371514417,2765.992044,1715.504553,3103281.558,2109525.046,44.88495453,13.71915934,0.435567492,0.094742917,0.501855244,0.131408665
171122_9,1.71730208,0.908237851,1.896775233,1.509922122,2988.57582,1672.304759,3399576.257,2140396.221,47.3401221,15.46460072,0.447503686,0.12125487,0.49531236,0.147436313
171119_1,1.571577625,0.931082824,1.617692726,1.372828125,2646.183468,1739.182142,2989329.456,2145210.114,43.83978125,14.79995869,0.455035383,0.11688928,0.490664006,0.135582175
171121_4,1.709061654,0.928029631,1.809487272,1.393580428,2888.819933,1694.141428,3307568.257,2186619.831,46.32331909,15.19180398,0.450197688,0.11701497,0.498605257,0.142212049
171119_4,1.518798509,0.935564106,1.590506513,1.351767324,2663.047534,1757.459951,3003844.796,2157488.497,44.01329837,14.533785,0.460457861,0.106699834,0.48827569,0.122454615
171125_20,1.384396055,0.820488873,1.419575698,1.023229876,2822.907422,1561.743774,3148285.892,1880536.905,49.11643437,13.99514296,0.458049381,0.088880495,0.507876774,0.116028076
171122_2,1.657127748,0.965049672,2.092150409,1.667043796,3045.863598,1740.788313,3434455.735,2153409.776,46.86616429,15.6127882,0.44979846,0.118455114,0.48373372,0.140041227
171125_7,1.524961956,0.937067431,1.403967941,1.112911972,2681.036061,1522.52512,3099917.956,1979542.763,50.16264741,12.2172271,0.411368383,0.119691714,0.474793403,0.161605798
171126_9,1.580143607,1.007136233,1.55819649,1.20498777,2716.69099,1454.62793,2996934.217,1729296.202,47.36399446,13.97880688,0.445207753,0.092450515,0.513055488,0.129455083
171125_21,1.532443143,0.93714435,1.411325192,1.086577179,2669.596575,1483.791698,3062425.493,1920653.211,49.25531044,12.6668824,0.41822506,0.115250294,0.485069986,0.155848192
171118_13,1.609006722,0.856232768,1.644919948,1.276888806,2635.870565,1547.216112,2958784.361,1921773.078,46.02419198,15.92407578,0.447795907,0.125387086,0.49053627,0.150395294
171120_11,1.606005613,0.917694713,1.607072062,1.357256344,2815.071933,1694.657001,3203075.393,2180136.517,47.01350439,14.30436183,0.440947917,0.103742947,0.507462753,0.136267335
171119_3,1.627134125,0.918681991,1.713909553,1.427245628,2788.385125,1798.496246,3214344.178,2327307.879,44.45295967,14.25819224,0.450562301,0.111271301,0.493053367,0.133087094
